timestamp,perf_time_sec,sample_index,DAT1,DAT2,DAT3,DAT4
2026-05-22T15:24:01.137,96201.898277,3915,7135681,9245353,8911023,8072125
2026-05-22T15:24:01.152,96201.913484,3916,7135575,9245359,8910887,8072219
2026-05-22T15:24:01.152,96201.913722,3917,7135691,9245329,8911073,8072179
2026-05-22T15:24:01.152,96201.913760,3918,7135755,9245383,8910825,8072225
2026-05-22T15:24:01.153,96201.914372,3919,7135847,9245377,8910961,8072115
2026-05-22T15:24:01.153,96201.914410,3920,7135701,9245409,8910839,8072203
2026-05-22T15:24:01.167,96201.928432,3921,7135685,9245375,8911023,8072169
2026-05-22T15:24:01.182,96201.943809,3922,7135481,9245433,8910797,8072227
2026-05-22T15:24:01.182,96201.944167,3923,7135499,9245429,8910911,8072211
2026-05-22T15:24:01.197,96201.958867,3924,7135385,9245465,8910653,8072295
2026-05-22T15:24:01.197,96201.959213,3925,7135415,9245393,8910877,8072239
2026-05-22T15:24:01.212,96201.973477,3926,7135297,9245417,8910685,8072255
2026-05-22T15:24:01.227,96201.988416,3927,7135473,9245345,8910951,8072099
2026-05-22T15:24:01.227,96201.988671,3928,7135499,9245417,8910843,8071849
2026-05-22T15:24:01.242,96202.004092,3929,7135569,9245343,8910953,8071665
2026-05-22T15:24:01.257,96202.018561,3930,7135501,9245381,8910775,8072063
2026-05-22T15:24:01.272,96202.033558,3931,7135565,9245339,8911015,8072235
2026-05-22T15:24:01.286,96202.048269,3932,7135497,9245379,8910835,8072053
2026-05-22T15:24:01.302,96202.063673,3933,7135559,9245329,8911021,8071673
2026-05-22T15:24:01.302,96202.063952,3934,7135441,9245425,8910757,8071667
2026-05-22T15:24:01.302,96202.064222,3935,7135449,9245333,8910977,8071503
2026-05-22T15:24:01.317,96202.078629,3936,7135483,9245375,8910767,8071455
2026-05-22T15:24:01.317,96202.078740,3937,7135557,9245305,8910889,8071429
2026-05-22T15:24:01.332,96202.093714,3938,7135485,9245371,8910585,8071895
2026-05-22T15:24:01.347,96202.108497,3939,7135571,9245305,8910855,8072027
2026-05-22T15:24:01.361,96202.123278,3940,7135457,9245371,8910749,8072227
2026-05-22T15:24:01.377,96202.138475,3941,7135491,9245319,8911051,8072143
2026-05-22T15:24:01.377,96202.138808,3942,7135507,9245377,8910885,8072183
2026-05-22T15:24:01.377,96202.138879,3943,7135621,9245269,8911149,8072113
2026-05-22T15:24:01.378,96202.139375,3944,7135545,9245381,8910881,8072153
2026-05-22T15:24:01.378,96202.139564,3945,7135595,9245361,8911061,8072109
2026-05-22T15:24:01.392,96202.153287,3946,7135535,9245327,8910801,8072217
2026-05-22T15:24:01.437,96202.198699,3947,7135649,9245265,8911039,8072049
2026-05-22T15:24:01.452,96202.213493,3948,7135667,9245407,8910871,8072055
2026-05-22T15:24:01.467,96202.228631,3949,7135659,9245331,8911145,8071969
